id,dependencies,projects,full license list,license urls
Apache-2.0 OR BSD-3-Clause OR MIT,"github.com/klauspost/compress@v1.17.2, github.com/klauspost/compress@v1.4.0, honnef.co/go/tools@v0.1.3","hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod, hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod","Apache-2.0, BSD-3-Clause, MIT","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:MIT"
Apache-2.0 OR EPL-1.0,"io.vertx:vertx-auth-common@3.9.0, io.vertx:vertx-auth-common@3.9.2, io.vertx:vertx-auth-common@4.1.1, io.vertx:vertx-bridge-common@3.9.0, io.vertx:vertx-bridge-common@3.9.2, io.vertx:vertx-bridge-common@4.1.1, io.vertx:vertx-codegen@4.5.0, io.vertx:vertx-codegen@4.5.9, io.vertx:vertx-core@3.9.0, io.vertx:vertx-core@3.9.2, io.vertx:vertx-core@4.1.1, io.vertx:vertx-core@4.5.0, io.vertx:vertx-core@4.5.9, io.vertx:vertx-json-schema@4.1.1, io.vertx:vertx-web@3.9.0, io.vertx:vertx-web@3.9.2, io.vertx:vertx-web@4.1.1, io.vertx:vertx-web-client@4.1.1, io.vertx:vertx-web-common@3.9.0, io.vertx:vertx-web-common@3.9.2, io.vertx:vertx-web-common@4.1.1, io.vertx:vertx-web-validation@4.1.1, org.eclipse.jetty:jetty-http@12.0.11, org.eclipse.jetty:jetty-http@12.0.3, org.eclipse.jetty:jetty-io@12.0.11, org.eclipse.jetty:jetty-io@12.0.3, org.eclipse.jetty:jetty-security@12.0.11, org.eclipse.jetty:jetty-security@12.0.3, org.eclipse.jetty:jetty-server@12.0.11, org.eclipse.jetty:jetty-server@12.0.3, org.eclipse.jetty:jetty-servlet@11.0.16, org.eclipse.jetty:jetty-servlet@11.0.20, org.eclipse.jetty:jetty-util@12.0.11, org.eclipse.jetty:jetty-util@12.0.3, org.eclipse.jetty.toolchain:jetty-jakarta-servlet-api@5.0.2","hashgraph/hedera-proof-of-action-microservice(master):build.gradle, hashgraph/hedera-theft-prevention-demo(master):hedera-proof-of-action-microservice/build.gradle, hashgraph/hedera-stable-coin-demo(master):stable-coin-platform/build.gradle, hashgraph/hedera-hcs-erc721-sample(master):contract/build.gradle, hashgraph/hedera-stable-coin(master):build.gradle, hashgraph/hedera-nft-auction-demo(main):hedera-nft-auction-demo-java-node/build.gradle, hashgraph/hedera-nft-auction-demo:hedera-nft-auction-demo-java-node/build.gradle, node/grpc:build.gradle.kts, hedera-mirror-node/grpc:build.gradle.kts, hedera-mirror-node/web3:build.gradle.kts, hedera-mirror-node/importer:build.gradle.kts, node/importer:build.gradle.kts","Apache-2.0, EPL-1.0","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:EPL-1.0"
Apache-2.0 OR EPL-2.0 OR GPL-3.0,org.glassfish.jersey.media:jersey-media-json-jackson@2.31,hashgraph/hedera-stablecoin-demo-archived(master):e2eTesting/pom.xml,"Apache-2.0, EPL-2.0, GPL-3.0","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:EPL-2.0, https://app.snyk.io/vuln/snyk:lic:GPL-3.0"
Apache-2.0 OR GPL-2.0 OR MPL-1.1,com.rabbitmq:amqp-client@5.8.0,"hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-queue-consumer/hcs-sxc-java-queue-listener/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-queue-consumer/hcs-sxc-java-queue-config/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-queue-consumer/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-queue-consumer/hcs-sxc-java-queue-generator/pom.xml","Apache-2.0, GPL-2.0, MPL-1.1","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:GPL-2.0, https://app.snyk.io/vuln/snyk:lic:MPL-1.1"
Apache-2.0 OR LGPL-2.1 OR MPL-1.1,"org.javassist:javassist@3.23.1-GA, org.javassist:javassist@3.24.0-GA, org.javassist:javassist@3.25.0-GA","hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-plugins/hcs-sxc-java-plugins-persistence-hibernate/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-coverage/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-settlement-demo/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-token-demo/pom.xml, hashgraph/hedera-stablecoin-demo-archived(master):e2eTesting/pom.xml","Apache-2.0, LGPL-2.1, MPL-1.1","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:LGPL-2.1, https://app.snyk.io/vuln/snyk:lic:MPL-1.1"
Apache-2.0 OR LGPL-2.1,"net.java.dev.jna:jna@4.2.2, net.java.dev.jna:jna@5.12.1, net.java.dev.jna:jna@5.13.0, net.java.dev.jna:jna@5.14.0","node/graphql:build.gradle.kts, private-hedera-services/swirlds-config-api:build.gradle.kts, private-hedera-services/swirlds-common:build.gradle.kts, private-hedera-services/swirlds-logging:build.gradle.kts, private-hedera-services/swirlds-base:build.gradle.kts, private-hedera-services/StatsSigningTestingTool:build.gradle.kts, private-hedera-services/swirlds:build.gradle.kts, private-hedera-services/test-clients:build.gradle.kts, private-hedera-services/app-service-file-impl:build.gradle.kts, private-hedera-services/app-hapi-fees:build.gradle.kts, private-hedera-services/app-service-schedule-impl:build.gradle.kts, private-hedera-services/app-service-util:build.gradle.kts, private-hedera-services/config:build.gradle.kts, private-hedera-services/app-service-evm-impl:build.gradle.kts, private-hedera-services/app-service-token-impl:build.gradle.kts, private-hedera-services/app-service-network-admin-impl:build.gradle.kts, private-hedera-services/app-service-mono:build.gradle.kts, private-hedera-services/app-service-token:build.gradle.kts, node/importer:build.gradle.kts, private-hedera-services/app-service-consensus-impl:build.gradle.kts, node/web3:build.gradle.kts, node/rest-java:build.gradle.kts, private-hedera-services/app-service-network-admin:build.gradle.kts, private-hedera-services/app-service-util-impl:build.gradle.kts, private-hedera-services/app-service-file:build.gradle.kts, private-hedera-services/services-cli:build.gradle.kts, private-hedera-services/hapi:build.gradle.kts, private-hedera-services/app-spi:build.gradle.kts, node/test:build.gradle.kts, private-hedera-services/app-service-evm:build.gradle.kts, private-hedera-services/app-hapi-utils:build.gradle.kts, node/grpc:build.gradle.kts, private-hedera-services/app-service-consensus:build.gradle.kts, private-hedera-services/app-service-contract:build.gradle.kts, private-hedera-services/app-service-schedule:build.gradle.kts, private-hedera-services/app-service-contract-impl:build.gradle.kts, hedera-mirror-node/web3:build.gradle.kts, hedera-mirror-node/test:build.gradle.kts, hedera-mirror-node/grpc:build.gradle.kts, hedera-mirror-node/importer:build.gradle.kts, hedera-mirror-node/rest-java:build.gradle.kts, hedera-mirror-node/common:build.gradle.kts, hedera-mirror-node/graphql:build.gradle.kts","Apache-2.0, LGPL-2.1","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:LGPL-2.1"
Apache-2.0 OR LGPL-3.0,github.com/weaveworks/common@v0.0.0-20230728070032-dd9e68f319d5,hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod,"Apache-2.0, LGPL-3.0","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:LGPL-3.0"
Apache-2.0 OR MIT,"github.com/ClickHouse/clickhouse-go@v1.3.12, github.com/crate-crypto/go-ipa@v0.0.0-20240223125850-b1e8a79f509c, github.com/influxdata/influxdb/client@#a55dd0f50edd14c9c798d3564189eb4f53914309, github.com/influxdata/influxdb/client/v2@#b36b9f109f2da91c8941679caf5356e08eee0b2b, github.com/influxdata/influxdb/models@#b36b9f109f2da91c8941679caf5356e08eee0b2b, github.com/influxdata/influxdb/pkg/escape@#01288bdb0883a01cac999326bd34421b29acaec8, gopkg.in/yaml.v2@v2.4.0, gopkg.in/yaml.v3@v3.0.0-20210107192922-496545a6307b, gopkg.in/yaml.v3@v3.0.1, @graphprotocol/graph-cli@0.33.0, multiformats@13.2.2, org.bouncycastle:bcpg-jdk18on@1.72","hashgraph/hedera-stablecoin-demo-archived(master):go.mod, hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod, hashgraph/quorum(master):vendor/vendor.json, hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/hedera-protobufs-go(main):examples/go.mod, hashgraph/hedera-protobufs-go(main):go.mod, hashgraph/hedera-subgraph-example(main):package.json, hashgraph/hedera-mirror-node-explorer(main):package.json, hashgraph/hedera-transaction-tool-demo(main):tools-cli/pom.xml, hashgraph/hedera-transaction-tool-demo(main):tools-ui/pom.xml, hashgraph/hedera-transaction-tool-demo(main):tools-core/pom.xml","Apache-2.0, MIT","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:MIT"
Apache-2.0 OR MPL-1.1,"harmony-reflect@1.6.1, harmony-reflect@1.6.2","hashgraph/hedera-fee-tool-js(master):package.json, hashgraph/hedera-sourcify(main):ui/package.json, hashgraph/stablecoin-studio(main):web/package.json, @hashgraph-dev/stablecoin-dapp","Apache-2.0, MPL-1.1","https://app.snyk.io/vuln/snyk:lic:Apache-2.0, https://app.snyk.io/vuln/snyk:lic:MPL-1.1"
BSD-1-Clause OR BSD-2-Clause,"github.com/btcsuite/goleveldb@v0.0.0-20160330041536-7834afc9e8cd, github.com/btcsuite/websocket@v0.0.0-20150119174127-31079b680792, github.com/gopherjs/gopherjs@v0.0.0-20181017120253-0766667cb4d1, github.com/gorilla/websocket@v1.4.2, github.com/go-sourcemap/sourcemap@v2.1.3+incompatible, github.com/graph-gophers/graphql-go@v0.0.0-20201113091052-beb923fada29, github.com/huin/goupnp@v1.0.2, github.com/huin/goutil@v0.0.0-20170803182201-1ca381bf3150, github.com/pkg/term@v0.0.0-20180730021639-bffc007b7fd5, github.com/syndtr/goleveldb@v1.0.1-0.20210819022825-2ae1ddf74ef7","hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/hcscli(master):go.mod, hashgraph/hedera-fabric-txmapper(master):txmapper/go.mod, hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod, hashgraph/hedera-stablecoin-demo-archived(master):go.mod","BSD-1-Clause, BSD-2-Clause","https://app.snyk.io/vuln/snyk:lic:BSD-1-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause"
BSD-1-Clause OR BSD-2-Clause-Views,github.com/ijc/Gotty@v0.0.0-20170406111628-a8b993ba6abd,hashgraph/fabric-config(master):go.mod,"BSD-1-Clause, BSD-2-Clause-Views","https://app.snyk.io/vuln/snyk:lic:BSD-1-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause-Views"
BSD-2-Clause OR BSD-3-Clause OR BSD-3-Clause-No-Military-License,"github.com/cloudflare/cloudflare-go@v0.14.0, github.com/edsrzf/mmap-go@v1.0.0, github.com/gballet/go-libpcsclite@v0.0.0-20190607065134-2772fd86a8ff, github.com/holiman/uint256@v1.2.0, github.com/retailnext/hllpp@v1.0.1-0.20180308014038-101a6d2f8b52, github.com/rogpeppe/fastuuid@v1.2.0, github.com/tklauser/go-sysconf@v0.3.5","hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod, hashgraph/hedera-protobufs-go(main):examples/go.mod, hashgraph/hedera-protobufs-go(main):go.mod","BSD-2-Clause, BSD-3-Clause, BSD-3-Clause-No-Military-License","https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause-No-Military-License"
BSD-2-Clause OR BSD-3-Clause OR HPND,"bazil.org/fuse@#371fbbdaa8987b715bdd21d6adc4c9b20155f748, bazil.org/fuse/fs@#371fbbdaa8987b715bdd21d6adc4c9b20155f748, bazil.org/fuse/fuseutil@#371fbbdaa8987b715bdd21d6adc4c9b20155f748",hashgraph/quorum(master):vendor/vendor.json,"BSD-2-Clause, BSD-3-Clause, HPND","https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:HPND"
BSD-2-Clause OR BSD-3-Clause,"github.com/btcsuite/go-socks@v0.0.0-20170105172521-4720035b7bfd, github.com/julienschmidt/httprouter@v1.2.0, github.com/pierrec/lz4@v2.0.5+incompatible, github.com/pmezard/go-difflib@v1.0.0","hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/fabric-config(master):go.mod, hashgraph/hcscli(master):go.mod, hashgraph/hedera-fabric-txmapper(master):txmapper/go.mod, hashgraph/hedera-stablecoin-demo-archived(master):go.mod, hashgraph/fabric-samples-hcs(master):chaincode/abac/go/go.mod, hashgraph/quorum(master):vendor/github.com/hashicorp/go-plugin/go.mod, hashgraph/fabric-hcs(master):integration/chaincode/module/go.mod, hashgraph/fabric-samples-hcs(master):chaincode/marbles02/go/go.mod, hashgraph/quorum(master):vendor/github.com/hashicorp/go-hclog/go.mod, hashgraph/hedera-state-proof-verifier-go(main):go.mod, hashgraph/fabric-samples-hcs(master):high-throughput/chaincode/go.mod, hashgraph/fabric-samples-hcs(master):chaincode/marbles02_private/go/go.mod, hashgraph/fabric-hcs(master):core/chaincode/platforms/golang/testdata/ccmodule/go.mod, hashgraph/fabric-samples-hcs(master):chaincode/sacc/go.mod, hashgraph/fabric-samples-hcs(master):chaincode/abstore/go/go.mod, hashgraph/fabric-samples-hcs(master):interest_rate_swaps/chaincode/go.mod, hashgraph/fabric-samples-hcs(master):chaincode/fabcar/go/go.mod, hashgraph/quorum(master):vendor/github.com/cloudflare/cloudflare-go/go.mod, hashgraph/hedera-protobufs-go(main):examples/go.mod, hashgraph/hedera-protobufs-go(main):go.mod","BSD-2-Clause, BSD-3-Clause","https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause"
BSD-2-Clause OR GPL-2.0-only,sjcl@1.0.7,"hashgraph/fabric-samples-hcs(master):fabcar/typescript/package.json, hashgraph/fabric-samples-hcs(master):fabcar/javascript/package.json, hashgraph/fabric-samples-hcs(master):off_chain_data/package.json","BSD-2-Clause, GPL-2.0-only","https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:GPL-2.0-only"
BSD-2-Clause OR GPL-3.0,"hidapi@0.14.0, keypair@1.0.4","hashgraph/trezor-firmware(master):python/requirements-optional.txt, hashgraph/hedera-subgraph-example(main):package.json","BSD-2-Clause, GPL-3.0","https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:GPL-3.0"
BSD-2-Clause OR MIT OR Apache-2.0,rc@1.2.8,"hashgraph/fabric-samples-hcs(master):fabcar/typescript/package.json, hashgraph/quorum(master):dashboard/assets/package.json, hashgraph/fabric-samples-hcs(master):fabcar/javascript/package.json, hashgraph/hedera-theft-prevention-demo(master):backend/package.json, hashgraph/hedera-hcs-token-example(master):javascript/hedera-hcs-token-example-server/package.json, hashgraph/fabric-samples-hcs(master):off_chain_data/package.json, hashgraph/hedera-hcs-token-example(master):javascript/hedera-hcs-token-example-ui/package.json, hashgraph/hedera-fee-tool-js(master):package.json, hashgraph/hedera-nft-auction-demo(main):hedera-nft-auction-demo-javascript-client/package.json, hashgraph/hedera-smart-contracts(main):system-contract-dapp-playground/package.json, hashgraph/hedera-stablecoin-demo-archived(master):ui/package.json, hashgraph/hedera-stablecoin-demo-archived(master):sdk/package.json, hashgraph/hedera-transaction-tool(main):automation/package.json, hashgraph/hedera-transaction-tool(main):front-end/package.json, hashgraph/hedera-accelerator-defi-dex(main):package.json, hashgraph/hedera-nft-auction-demo:hedera-nft-auction-demo-javascript-client/package.json","BSD-2-Clause, MIT, Apache-2.0","https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause, https://app.snyk.io/vuln/snyk:lic:MIT, https://app.snyk.io/vuln/snyk:lic:Apache-2.0"
BSD-3-Clause AND Apache-2.0,google-protobuf@3.21.4,"hashgraph/fabric-samples-hcs(master):chaincode/abstore/javascript/package.json, hashgraph/fabric-samples-hcs(master):chaincode/marbles02/javascript/package.json, hashgraph/fabric-samples-hcs(master):chaincode/fabcar/javascript/package.json, hashgraph/fabric-samples-hcs(master):chaincode/fabcar/typescript/package.json","BSD-3-Clause, Apache-2.0","https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:Apache-2.0"
BSD-3-Clause OR GPL-2.0,"node-forge@0.10.0, node-forge@0.7.5, node-forge@1.3.1","hashgraph/hedera-stable-coin-demo(master):stable-coin-sdk-js/package.json, hashgraph/hedera-stable-coin-demo(master):stable-coin-admin/package.json, hashgraph/hedera-stable-coin-demo(master):stable-coin-client/package.json, hashgraph/hedera-hcs-erc721-sample(master):examples/typescript/package.json, hashgraph/hedera-subgraph-example(main):package.json, hashgraph/hedera-hts-demo(master):package.json, hashgraph/quorum(master):dashboard/assets/package.json, hashgraph/hedera-fee-tool-js(master):package.json, hashgraph/hethers.js(master):packages/hethers/package.json, @hashgraph/fullstack-network-manager, hashgraph/hethers.js(master):packages/providers/package.json, hashgraph/hedera-cli(main):package.json, hashgraph/hedera-theft-prevention-demo(master):backend/package.json, @hashgraph-dev/stablecoin-npm-sdk, hashgraph/stablecoin-studio(main):hashconnect/lib/package.json, hashgraph/stablecoin-studio(main):backend/package.json, hashgraph/solo(main):package.json, hashgraph/hethers.js(master):packages/testcases/package.json, hashgraph/stablecoin-studio(main):sdk/package.json, hashgraph/hedera-metamask-snaps(main):packages/hedera-wallet-snap/packages/site/package.json, hashgraph/hedera-metamask-snaps(main):packages/hedera-wallet-snap/packages/snap/package.json, hashgraph/hethers.js(master):packages/wallet/package.json, hashgraph/hedera-sourcify(main):ui/package.json, hashgraph/hashgraph-defi-alliance(main):hashgraph-react-wallets/package.json, hashgraph/hedera-wallet-connect(main):package.json, hashgraph/hethers.js(master):packages/contracts/package.json, hashgraph/hedera-nft-utilities(main):package.json, @hashgraph-dev/hashconnect, hashgraph/hedera-transaction-tool(main):back-end/package.json, hashgraph/hedera-transaction-tool(main):automation/package.json, hashgraph/hedera-transaction-tool(main):front-end/package.json, @hashgraph-dev/stablecoin-npm-cli, hashgraph/hedera-local-node(main):package.json, hashgraph/stablecoin-studio(main):web/package.json, hashgraph/hedera-mirror-node-explorer(main):package.json, @hashgraph-dev/stablecoin-dapp, @hashgraph/solo, hashgraph/hedera-accelerator-defi-dex-ui(main):package.json","BSD-3-Clause, GPL-2.0","https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:GPL-2.0"
BSD-3-Clause OR LGPL-2.1,github.com/karalabe/hid@v1.0.1-0.20240306101548-573246063e52,hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod,"BSD-3-Clause, LGPL-2.1","https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:LGPL-2.1"
BSD-3-Clause OR MIT,"github.com/ghodss/yaml@v1.0.0, github.com/hashicorp/go-msgpack@v0.5.3, github.com/klauspost/pgzip@v1.0.2-0.20170402124221-0bf5dcad4ada, github.com/sean-/seed@v0.0.0-20170313163322-e2103e2c3529, github.com/xhit/go-str2duration@v2.1.0","hashgraph/fabric-config(master):go.mod, hashgraph/hcscli(master):go.mod, hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/hedera-fabric-txmapper(master):txmapper/go.mod, hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod","BSD-3-Clause, MIT","https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:MIT"
CC-BY-4.0 AND MIT,"@fortawesome/fontawesome-free-regular@5.0.13, @fortawesome/free-brands-svg-icons@6.6.0, @fortawesome/free-regular-svg-icons@5.9.0, @fortawesome/free-solid-svg-icons@5.9.0, @fortawesome/free-solid-svg-icons@6.6.0","hashgraph/quorum(master):dashboard/assets/package.json, hashgraph/hedera-mirror-node-explorer(main):package.json","CC-BY-4.0, MIT","https://app.snyk.io/vuln/snyk:lic:CC-BY-4.0, https://app.snyk.io/vuln/snyk:lic:MIT"
CC0-1.0 OR GPL-2.0-with-classpath-exception,"net.sourceforge.streamsupport:streamsupport@1.7.4, net.sourceforge.streamsupport:streamsupport-cfuture@1.7.4",hashgraph/hedera-exchange-rate-tool(master):pom.xml,"CC0-1.0, GPL-2.0-with-classpath-exception","https://app.snyk.io/vuln/snyk:lic:CC0-1.0, https://app.snyk.io/vuln/snyk:lic:GPL-2.0-with-classpath-exception"
